transcript,hippuristanol_tpUTR_max,hippuristanol_tpUTR_average,hippuristanol_tpUTR_std,hippuristanol_tpUTR_gini
PB2015.4896.1,3.74133333333,0.08563351254476956,0.250619385393582,0.892116099605
PB2015.10847.2,1.602,0.040523373402012015,0.1751742938045936,0.95291468887
PB2015.6092.1,NA,NA,NA,NA
PB2015.6092.2,NA,NA,NA,NA
PB2015.10847.1,1.686,0.10544645006015883,0.27392956170116894,0.876644099748
PB2015.4050.1,2.12566666667,0.16778981937601972,0.3383582374057631,0.799836858575
PB2015.12659.1,0.640333333333,0.058671111111093334,0.1531424076383532,0.884434007525
PB2015.10163.2,1.335,0.17639113680151444,0.27360735688269744,0.723668331457
PB2015.1248.2,2.76566666667,0.18351051051053655,0.3229754874162929,0.760000959738
PB2015.8246.1,1.80466666667,0.051643678160988506,0.25253770399014996,0.963207987222
PB2015.1248.1,2.761,0.18443100425742381,0.32474966139568934,0.760112276456
PB2015.9581.4,1.68266666667,0.18146982758625216,0.3323574047497069,0.779690847434
PB2015.5750.5,1.396,0.16804565030142132,0.24433429908729692,0.694217791151
PB2015.5750.2,1.37933333333,0.16558604247937322,0.24104557110112101,0.694566626774
PB2015.9581.3,0.611,0.022404761904760203,0.08954837239018759,0.946386357792
PB2015.8322.1,1.81333333333,0.2805343137254191,0.3729479645741746,0.665807994815
PB2015.8322.2,1.81466666667,0.2805171568628026,0.37276280004573886,0.665631760214
PB2015.2528.1,1.86933333333,0.18178186274510294,0.31955278026776035,0.753923478731
PB2015.12206.2,0.829333333333,0.2569895833332594,0.24784515053045808,0.531576800697
PB2015.12206.1,0.813333333333,0.23775490196081475,0.24351343467690612,0.558775017161
PB2015.11301.1,1.62366666667,0.0551987179487548,0.19844148106860912,0.932096022083
PB2015.9602.5,NA,NA,NA,NA
PB2015.3720.3,6.19533333333,0.16456156156152973,0.575067114126271,0.92613583236
PB2015.3720.2,6.46933333333,0.17056761268769952,0.6111511804527006,0.929747201368
PB2015.4066.2,1.73733333333,0.23261170848266208,0.3092549547015464,0.65272697714
PB2015.15173.1,1.64066666667,0.17991337099823165,0.3348292216744024,0.787528775214
PB2015.15648.1,0.96,0.1879727272727091,0.260291911234632,0.690469281488
PB2015.1375.18,1.01966666667,0.02222079772080342,0.11272704709081859,0.965953192266
PB2015.4997.2,3.87266666667,0.07311345303150663,0.29258814839602854,0.938366154045
PB2015.781.5,1.09333333333,0.24488418079096877,0.27114763032956196,0.588002143255
PB2015.13033.8,1.13066666667,0.13218372703418113,0.22037343121172923,0.73966248143
PB2015.13033.6,1.11066666667,0.1300577427821181,0.21674511034852176,0.739102674928
PB2015.13033.7,1.118,0.13111286089238583,0.21859307632962408,0.739489148915
PB2015.13033.4,1.15466666667,0.05474676375402428,0.15357330947728332,0.890251066724
PB2015.13033.3,1.16833333333,0.04867020523705944,0.14724447476749297,0.90419494639
PB2015.13033.1,1.27266666667,0.051950980392172275,0.15836794233713072,0.905691735082
PB2015.529.1,1.07233333333,0.090682222222192,0.19350424758141502,0.834479541909
PB2015.3004.8,0.439333333333,0.021357142857114285,0.07100433300940706,0.922877846791
PB2015.3004.9,0.404,0.019961904761892864,0.06611327563672188,0.922365730643
PB2015.3004.6,0.464333333333,0.02811890838203509,0.0798255051151773,0.896726970517
PB2015.11525.1,1.09266666667,0.055076491228096845,0.1645281283741564,0.904650656252
PB2015.3004.4,0.437333333333,0.0181986062717561,0.062210659299310106,0.925540854654
PB2015.394.1,1.00966666667,0.07930715005033233,0.1608057881308817,0.811206482763
PB2015.3004.2,0.497666666667,0.020371395617072664,0.07012319919194283,0.926505362714
PB2015.3004.3,0.496333333333,0.020248548199770035,0.06954586504581163,0.926139359232
PB2015.3881.1,1.38466666667,0.2695748502994072,0.25727293838119697,0.511639020101
PB2015.13120.3,0.720333333333,0.019224513172965634,0.09210058081235076,0.962464676967
PB2015.13120.1,0.168,0.0076363636363636364,0.03499421439784459,0.954545454545
PB2015.10375.2,2.239,0.12181487889273149,0.25649471041753097,0.798826286085
PB2015.10375.3,2.33,0.1185693296602336,0.2347597532256223,0.78257972269
PB2015.6229.10,1.49566666667,0.2131600753295827,0.2791783332084816,0.650629503157
PB2015.10375.5,2.22566666667,0.11620789779323884,0.23972435645258747,0.798387089192
PB2015.2037.2,3.171,0.16134309240618874,0.3676113388878817,0.836127183246
PB2015.6042.1,NA,NA,NA,NA
PB2015.9898.1,1.36466666667,0.27333950617281483,0.35087781449177274,0.639913699296
PB2015.15928.1,2.164,0.18636274509791723,0.36822635501535605,0.787523689575
PB2015.12624.1,1.969,0.10839150943399062,0.24005800953788686,0.830285499941
PB2015.13411.1,2.33566666667,0.2155021929825,0.3996851959271231,0.785906073608
PB2015.13411.6,2.241,0.3381800766284023,0.4562275815227796,0.666692190641
PB2015.1930.1,1.03333333333,0.1499784946235484,0.2512517470537351,0.743896685384
PB2015.1930.2,0.966666666667,0.1337777777777667,0.23615867756169806,0.758128460687
PB2015.15928.6,2.136,0.25047286821702114,0.41315864483436826,0.726119713713
PB2015.13842.2,0.333333333333,0.023568922305776695,0.059490762703491,0.873435716045
PB2015.13842.3,0.317333333333,0.02428310502283562,0.05863325821363254,0.863541757896
PB2015.13842.1,1.07766666667,0.06744272179154005,0.1709778158985482,0.871719605061
PB2015.16480.1,1.11966666667,0.3811212121214227,0.30746601266518414,0.453005847615
PB2015.13557.16,1.68633333333,0.3297702349869373,0.31938537308966075,0.522988465115
PB2015.9581.2,1.9,0.17662767825778608,0.326444683115111,0.777164409942
PB2015.2264.5,1.61866666667,0.23832248520712543,0.26965978373106875,0.580225030277
PB2015.14933.1,2.26466666667,0.20362936394072717,0.34500971212711157,0.746956452013
PB2015.8427.2,NA,NA,NA,NA
PB2015.6214.2,NA,NA,NA,NA
PB2015.2232.1,NA,NA,NA,NA
PB2015.15641.10,NA,NA,NA,NA
PB2015.4419.3,3.867,0.1312088122605431,0.4714655012294761,0.92571542666
PB2015.4419.2,3.77866666667,0.12745333333332856,0.46024233390409586,0.926379072185
PB2015.13557.12,1.67666666667,0.32430548302870443,0.3156479263064981,0.524932831529
PB2015.14055.1,1.23133333333,0.04945719035745013,0.13904432717620738,0.889256387411
PB2015.2370.1,0.240666666667,0.009256410256423077,0.046282051282115384,0.961538461538
PB2015.10871.1,NA,NA,NA,NA
PB2015.10871.2,NA,NA,NA,NA
PB2015.9148.5,0.308666666667,0.01752601156071676,0.06539459887735825,0.937041499535
PB2015.9148.4,0.320666666667,0.019298850574706896,0.06924000007530433,0.932224527006
PB2015.9148.7,0.512,0.02875722543352601,0.10754291530716567,0.937427019491
PB2015.12131.1,0.865333333333,0.00747218326321038,0.05548960298454939,0.982736127683
PB2015.8184.3,NA,NA,NA,NA
PB2015.11184.2,2.49566666667,0.2230625850340408,0.4235729684189304,0.793701901228
PB2015.11251.4,NA,NA,NA,NA
PB2015.7193.18,1.72133333333,0.3327967479674606,0.36810742190056556,0.58814761433
PB2015.13568.13,NA,NA,NA,NA
PB2015.13568.11,NA,NA,NA,NA
PB2015.13568.10,NA,NA,NA,NA
PB2015.13568.14,NA,NA,NA,NA
PB2015.2442.3,2.13866666667,0.41140555555558084,0.44175791339080334,0.567298871529
PB2015.16169.1,1.49033333333,0.3142380952380567,0.31369620833965495,0.534581308589
PB2015.13568.19,NA,NA,NA,NA
PB2015.2442.6,2.311,0.35561704834600616,0.4119309425614105,0.595487672008
PB2015.2442.4,2.09166666667,0.4128333333332412,0.4122994276681034,0.5362054022
PB2015.3542.5,2.43366666667,0.18665864332605867,0.29415846612599617,0.6925171953
PB2015.3542.4,2.487,0.19207075127646173,0.3019288870903652,0.69147101911
PB2015.3542.7,2.524,0.19944225721788544,0.33530926159146746,0.711596032812
PB2015.3542.6,2.47033333333,0.18925254730717114,0.29901196269163466,0.693978738708
PB2015.3542.3,2.407,0.18659956236323297,0.29287240387226815,0.69092003794
PB2015.8.1,1.30933333333,0.2159585798816276,0.2710454331255057,0.62611117317
PB2015.3542.9,2.43266666667,0.18893939393938775,0.3206073641792646,0.715610353661
PB2015.11644.1,1.59333333333,0.11171851851850981,0.2673710115274588,0.861056798964
PB2015.13243.3,1.44533333333,0.17682524271839808,0.2642669609192487,0.702674944832
PB2015.11644.3,1.28533333333,0.2718602150536775,0.31055284007950085,0.594577766777
PB2015.3897.2,1.617,0.1538355408388528,0.23126412490857326,0.703853223651
PB2015.3897.3,1.604,0.15630504714369323,0.23375248173287141,0.698641913889
PB2015.3897.1,1.84666666667,0.16299497027891302,0.24600805895639716,0.695312884151
PB2015.3897.4,1.80766666667,0.15217195325548688,0.23113389638023923,0.701831343878
PB2015.5677.1,1.10866666667,0.2963172690762868,0.2763283163738853,0.513055134488
PB2015.5677.2,1.10766666667,0.2924257028112864,0.2743773348077015,0.515465548298
PB2015.5677.3,1.09,0.29393248945150163,0.27134050923936043,0.508352264406
PB2015.5677.6,1.13066666667,0.30948717948721616,0.28145571270057945,0.501327725023
PB2015.311.6,1.30366666667,0.16895593220343727,0.2721956133348288,0.730750708963
PB2015.7497.2,1.14133333333,0.47462820512802695,0.2970345504509023,0.354778888489
PB2015.7497.1,1.38666666667,0.5208111111110766,0.3349740585128792,0.35885264438
PB2015.7497.6,1.55766666667,0.5140689655172069,0.37898566354802854,0.410451535703
PB2015.7497.7,1.50066666667,0.49134482758656206,0.3634414210503185,0.41116012981
PB2015.7497.4,1.392,0.5123111111110433,0.3357992448465491,0.365304647061
PB2015.7497.5,1.40133333333,0.24247111111109063,0.31521810952535445,0.647469267053
PB2015.635.1,1.251,0.0627679882525815,0.18596768653154175,0.905750782094
PB2015.1856.1,0.16,0.007287234042553191,0.028384376261488195,0.940441062277
PB2015.13770.20,1.773,0.1183878896882392,0.2406448488261616,0.80499927883
PB2015.15096.2,1.32966666667,0.07254253835425942,0.17597614301163955,0.854914851911
PB2015.4786.2,5.771,0.1882050749711834,0.573367003253955,0.901426895994
PB2015.4786.3,5.56466666667,0.18134416033172565,0.5539475884030467,0.901893157143
PB2015.8401.1,0.833333333333,0.17816114790285628,0.20422189181219869,0.598581230429
PB2015.11900.6,3.74733333333,0.1293912280701807,0.3545057142790755,0.875813111053
PB2015.3317.1,1.48866666667,0.03574153074025345,0.13225154247210255,0.930119774143
PB2015.11900.2,3.638,0.12552683780630217,0.34410244026134446,0.875911049907
PB2015.3481.2,0.923,0.09188942307691826,0.17864612233374252,0.804059476903
PB2015.15855.1,2.702,0.08581445672191118,0.29227582445803274,0.919817436705
PB2015.10369.2,1.26566666667,0.26088888888885436,0.30122204758915033,0.598144501373
PB2015.12578.3,1.65566666667,0.09218887505184807,0.22186543028447464,0.854419260043
PB2015.15258.1,0.983333333333,0.1390388888888833,0.23866435513830056,0.769502936828
PB2015.7881.1,0.0,0.0,0.0,NA
PB2015.15067.1,1.27233333333,0.0573600729261495,0.16385284427560975,0.895021608836
PB2015.862.8,1.23566666667,0.2665016181229702,0.3195198524058815,0.622710799773
PB2015.12059.4,1.88033333333,0.3112823529412,0.41628144861360916,0.661865453691
