transcript,GC_content,GA_content,AT_content,AC_content,A_content,C_content,G_content,T_content,length
PB2015.4896.1,0.418323524734,0.487832034357,0.581676475266,0.481787816129,0.275648162876,0.206139653253,0.212183871481,0.306028312391,6287
PB2015.10847.2,0.590822179732,0.496585632341,0.409177820268,0.494127287626,0.199945370117,0.294181917509,0.296640262223,0.20923245015,3661
PB2015.6092.1,0.479166666667,0.416666666667,0.520833333333,0.625,0.28125,0.34375,0.135416666667,0.239583333333,96
PB2015.6092.2,0.479166666667,0.416666666667,0.520833333333,0.625,0.28125,0.34375,0.135416666667,0.239583333333,96
PB2015.10847.1,0.53323699422,0.488439306358,0.46676300578,0.495664739884,0.225433526012,0.270231213873,0.263005780347,0.241329479769,692
PB2015.4050.1,0.598907103825,0.451366120219,0.401092896175,0.503825136612,0.178142076503,0.325683060109,0.273224043716,0.222950819672,915
PB2015.12659.1,0.31,0.423333333333,0.69,0.453333333333,0.283333333333,0.17,0.14,0.406666666667,300
PB2015.12628.4,0.333333333333,0.483333333333,0.666666666667,0.514102564103,0.332051282051,0.182051282051,0.151282051282,0.334615384615,780
PB2015.1248.2,0.436507936508,0.469979296066,0.563492063492,0.478605935128,0.256038647343,0.222567287785,0.213940648723,0.307453416149,2898
PB2015.4545.1,0.466753585398,0.48109517601,0.533246414602,0.475880052151,0.245110821382,0.230769230769,0.235984354628,0.28813559322,767
PB2015.1248.1,0.436809392265,0.470303867403,0.563190607735,0.478936464088,0.256215469613,0.222720994475,0.21408839779,0.306975138122,2896
PB2015.9581.4,0.377208480565,0.495583038869,0.622791519435,0.468197879859,0.293286219081,0.174911660777,0.202296819788,0.329505300353,1132
PB2015.5750.5,0.624661979448,0.518117901568,0.375338020552,0.444023796647,0.168739859383,0.275283937263,0.349378042185,0.206598161168,1849
PB2015.5750.2,0.627044711014,0.517448200654,0.372955288986,0.442202835333,0.166303162486,0.275899672846,0.351145038168,0.206652126499,1834
PB2015.9581.3,0.397727272727,0.524621212121,0.602272727273,0.494318181818,0.310606060606,0.183712121212,0.214015151515,0.291666666667,528
PB2015.8322.1,0.587436332767,0.458404074703,0.412563667233,0.577249575552,0.224108658744,0.353140916808,0.234295415959,0.188455008489,589
PB2015.8322.2,0.587436332767,0.458404074703,0.412563667233,0.577249575552,0.224108658744,0.353140916808,0.234295415959,0.188455008489,589
PB2015.2528.1,0.422391857506,0.557251908397,0.577608142494,0.516539440204,0.325699745547,0.190839694656,0.23155216285,0.251908396947,393
PB2015.12206.2,0.484042553191,0.452127659574,0.515957446809,0.521276595745,0.244680851064,0.276595744681,0.207446808511,0.271276595745,188
PB2015.12206.1,0.48167539267,0.44502617801,0.51832460733,0.51832460733,0.240837696335,0.277486910995,0.204188481675,0.277486910995,191
PB2015.11301.1,0.324380165289,0.510330578512,0.675619834711,0.586776859504,0.386363636364,0.20041322314,0.123966942149,0.289256198347,484
PB2015.9602.5,0.278145695364,0.490066225166,0.721854304636,0.529801324503,0.370860927152,0.158940397351,0.119205298013,0.350993377483,151
PB2015.3720.3,0.374727668845,0.517066085694,0.625272331155,0.444444444444,0.293391430646,0.151053013798,0.223674655047,0.331880900508,1377
PB2015.3720.2,0.367886178862,0.515582655827,0.632113821138,0.443089430894,0.29539295393,0.147696476965,0.220189701897,0.336720867209,1476
PB2015.4066.2,0.354953670706,0.443335709195,0.645046329294,0.439059158945,0.263720598717,0.175338560228,0.179615110478,0.381325730577,1403
PB2015.13791.4,0.306417112299,0.488235294118,0.693582887701,0.475935828877,0.328877005348,0.147058823529,0.15935828877,0.364705882353,1870
PB2015.15173.1,0.422090729783,0.508875739645,0.577909270217,0.465483234714,0.276134122288,0.189349112426,0.232741617357,0.301775147929,507
PB2015.15648.1,0.471264367816,0.451149425287,0.528735632184,0.474137931034,0.227011494253,0.247126436782,0.224137931034,0.301724137931,348
PB2015.1375.18,0.274907749077,0.493542435424,0.725092250923,0.486162361624,0.352398523985,0.133763837638,0.141143911439,0.372693726937,1084
PB2015.4997.2,0.638829407566,0.501784439686,0.361170592434,0.484653818701,0.17380442541,0.310849393291,0.327980014276,0.187366167024,2802
PB2015.781.5,0.484589041096,0.513698630137,0.515410958904,0.494863013699,0.26198630137,0.232876712329,0.251712328767,0.253424657534,584
PB2015.13033.8,0.46582278481,0.437974683544,0.53417721519,0.458227848101,0.215189873418,0.243037974684,0.222784810127,0.318987341772,395
PB2015.13033.6,0.46582278481,0.437974683544,0.53417721519,0.458227848101,0.215189873418,0.243037974684,0.222784810127,0.318987341772,395
PB2015.13033.7,0.46582278481,0.437974683544,0.53417721519,0.458227848101,0.215189873418,0.243037974684,0.222784810127,0.318987341772,395
