transcript,GC_content,GA_content,AT_content,AC_content,A_content,C_content,G_content,T_content,length
PB2015.4896.1,0.724137931034,0.497536945813,0.275862068966,0.443349753695,0.108374384236,0.334975369458,0.389162561576,0.167487684729,203
PB2015.10847.2,0.882352941176,0.607843137255,0.117647058824,0.470588235294,0.0980392156863,0.372549019608,0.509803921569,0.0196078431373,51
PB2015.6092.1,0.761904761905,0.52380952381,0.238095238095,0.428571428571,0.0952380952381,0.333333333333,0.428571428571,0.142857142857,84
PB2015.6092.2,0.771084337349,0.530120481928,0.228915662651,0.433734939759,0.0963855421687,0.33734939759,0.433734939759,0.132530120482,83
PB2015.10847.1,0.859649122807,0.614035087719,0.140350877193,0.456140350877,0.105263157895,0.350877192982,0.508771929825,0.0350877192982,57
PB2015.4050.1,0.696721311475,0.524590163934,0.303278688525,0.540983606557,0.184426229508,0.356557377049,0.340163934426,0.118852459016,244
PB2015.12659.1,0.692307692308,0.692307692308,0.307692307692,0.461538461538,0.230769230769,0.230769230769,0.461538461538,0.0769230769231,13
PB2015.12628.4,0.521978021978,0.494505494505,0.478021978022,0.510989010989,0.241758241758,0.269230769231,0.252747252747,0.236263736264,364
PB2015.1248.2,0.752941176471,0.611764705882,0.247058823529,0.458823529412,0.158823529412,0.3,0.452941176471,0.0882352941176,170
PB2015.4545.1,0.668693009119,0.568389057751,0.331306990881,0.544072948328,0.22188449848,0.322188449848,0.346504559271,0.109422492401,329
PB2015.1248.1,0.747572815534,0.616504854369,0.252427184466,0.441747572816,0.155339805825,0.28640776699,0.461165048544,0.0970873786408,206
PB2015.9581.4,0.609375,0.484375,0.390625,0.40625,0.140625,0.265625,0.34375,0.25,64
PB2015.5750.5,0.742857142857,0.495238095238,0.257142857143,0.419047619048,0.0857142857143,0.333333333333,0.409523809524,0.171428571429,105
PB2015.5750.2,0.757575757576,0.5,0.242424242424,0.469696969697,0.106060606061,0.363636363636,0.393939393939,0.136363636364,66
PB2015.9581.3,0.427777777778,0.594444444444,0.572222222222,0.583333333333,0.375,0.208333333333,0.219444444444,0.197222222222,360
PB2015.8322.1,0.627049180328,0.594262295082,0.372950819672,0.491803278689,0.229508196721,0.262295081967,0.364754098361,0.143442622951,244
PB2015.8322.2,0.613026819923,0.570881226054,0.386973180077,0.478927203065,0.218390804598,0.260536398467,0.352490421456,0.168582375479,261
PB2015.2528.1,0.728571428571,0.528571428571,0.271428571429,0.447619047619,0.12380952381,0.32380952381,0.404761904762,0.147619047619,210
PB2015.12206.2,0.678082191781,0.582191780822,0.321917808219,0.397260273973,0.150684931507,0.246575342466,0.431506849315,0.171232876712,292
PB2015.12206.1,0.676975945017,0.580756013746,0.323024054983,0.398625429553,0.151202749141,0.247422680412,0.429553264605,0.171821305842,291
PB2015.11301.1,0.791666666667,0.583333333333,0.208333333333,0.458333333333,0.125,0.333333333333,0.458333333333,0.0833333333333,24
PB2015.9602.5,0.594202898551,0.449275362319,0.405797101449,0.434782608696,0.144927536232,0.289855072464,0.304347826087,0.260869565217,69
PB2015.3720.3,0.637931034483,0.51724137931,0.362068965517,0.396551724138,0.137931034483,0.258620689655,0.379310344828,0.224137931034,58
PB2015.3720.2,0.675213675214,0.487179487179,0.324786324786,0.444444444444,0.128205128205,0.316239316239,0.358974358974,0.196581196581,117
PB2015.4066.2,0.777777777778,0.583333333333,0.222222222222,0.398148148148,0.101851851852,0.296296296296,0.481481481481,0.12037037037,108
PB2015.13791.4,0.344827586207,0.540229885057,0.655172413793,0.459770114943,0.327586206897,0.132183908046,0.212643678161,0.327586206897,174
PB2015.15173.1,0.605263157895,0.539473684211,0.394736842105,0.407894736842,0.171052631579,0.236842105263,0.368421052632,0.223684210526,76
PB2015.15648.1,0.65625,0.458333333333,0.34375,0.40625,0.104166666667,0.302083333333,0.354166666667,0.239583333333,96
PB2015.1375.18,0.721649484536,0.639175257732,0.278350515464,0.309278350515,0.113402061856,0.19587628866,0.525773195876,0.164948453608,97
PB2015.4997.2,0.803278688525,0.475409836066,0.196721311475,0.622950819672,0.147540983607,0.475409836066,0.327868852459,0.0491803278689,61
PB2015.781.5,0.619565217391,0.608695652174,0.380434782609,0.402173913043,0.195652173913,0.20652173913,0.413043478261,0.184782608696,92
PB2015.13033.8,0.728571428571,0.62380952381,0.271428571429,0.438095238095,0.166666666667,0.271428571429,0.457142857143,0.104761904762,210
PB2015.13033.6,0.569288389513,0.567415730337,0.430711610487,0.470037453184,0.234082397004,0.23595505618,0.333333333333,0.196629213483,534
PB2015.13033.7,0.576655052265,0.573170731707,0.423344947735,0.466898954704,0.231707317073,0.235191637631,0.341463414634,0.191637630662,574
PB2015.13033.4,0.573476702509,0.569892473118,0.426523297491,0.491039426523,0.243727598566,0.247311827957,0.326164874552,0.182795698925,279
PB2015.13033.3,0.601809954751,0.561085972851,0.398190045249,0.493212669683,0.226244343891,0.266968325792,0.334841628959,0.171945701357,221
PB2015.13033.1,0.702380952381,0.535714285714,0.297619047619,0.47619047619,0.154761904762,0.321428571429,0.380952380952,0.142857142857,84
PB2015.529.1,0.634615384615,0.615384615385,0.365384615385,0.365384615385,0.173076923077,0.192307692308,0.442307692308,0.192307692308,52
PB2015.3004.8,0.417197452229,0.474522292994,0.582802547771,0.496815286624,0.277070063694,0.21974522293,0.197452229299,0.305732484076,314
PB2015.3004.9,0.401162790698,0.476744186047,0.598837209302,0.505813953488,0.290697674419,0.21511627907,0.186046511628,0.308139534884,172
PB2015.3004.6,0.43109540636,0.528268551237,0.56890459364,0.468197879859,0.282685512367,0.185512367491,0.245583038869,0.286219081272,566
PB2015.11525.1,0.722222222222,0.527777777778,0.277777777778,0.472222222222,0.138888888889,0.333333333333,0.388888888889,0.138888888889,36
PB2015.3004.4,0.53037608486,0.531340405014,0.46962391514,0.446480231437,0.223722275796,0.222757955641,0.307618129219,0.245901639344,1037
PB2015.394.1,0.7,0.7,0.3,0.6,0.3,0.3,0.4,0.0,10
PB2015.3004.2,0.423423423423,0.522522522523,0.576576576577,0.47027027027,0.284684684685,0.185585585586,0.237837837838,0.291891891892,555
PB2015.3004.3,0.428571428571,0.52787456446,0.571428571429,0.468641114983,0.283972125436,0.184668989547,0.243902439024,0.287456445993,574
PB2015.3881.1,0.71875,0.59375,0.28125,0.5,0.1875,0.3125,0.40625,0.09375,32
PB2015.13120.3,0.533333333333,0.544444444444,0.466666666667,0.466666666667,0.238888888889,0.227777777778,0.305555555556,0.227777777778,180
PB2015.13120.1,0.543956043956,0.626373626374,0.456043956044,0.510989010989,0.296703296703,0.214285714286,0.32967032967,0.159340659341,182
PB2015.10375.2,0.743902439024,0.40243902439,0.256097560976,0.634146341463,0.146341463415,0.487804878049,0.256097560976,0.109756097561,82
PB2015.10375.3,0.729411764706,0.411764705882,0.270588235294,0.623529411765,0.152941176471,0.470588235294,0.258823529412,0.117647058824,85
PB2015.6229.10,0.50641025641,0.503770739065,0.49358974359,0.519984917044,0.258672699849,0.261312217195,0.245098039216,0.234917043741,2652
PB2015.10375.5,0.729411764706,0.411764705882,0.270588235294,0.623529411765,0.152941176471,0.470588235294,0.258823529412,0.117647058824,85
PB2015.2037.2,0.708333333333,0.548611111111,0.291666666667,0.4375,0.138888888889,0.298611111111,0.409722222222,0.152777777778,144
PB2015.10375.8,0.7375,0.375,0.2625,0.6625,0.15,0.5125,0.225,0.1125,80
PB2015.9898.1,0.666666666667,0.410256410256,0.333333333333,0.461538461538,0.102564102564,0.358974358974,0.307692307692,0.230769230769,39
PB2015.16001.2,0.666666666667,0.426666666667,0.333333333333,0.426666666667,0.0933333333333,0.333333333333,0.333333333333,0.24,75
PB2015.15928.1,0.723404255319,0.531914893617,0.276595744681,0.574468085106,0.191489361702,0.382978723404,0.340425531915,0.0851063829787,47
PB2015.12624.1,0.658536585366,0.517073170732,0.341463414634,0.443902439024,0.151219512195,0.292682926829,0.365853658537,0.190243902439,205
PB2015.13411.1,0.388127853881,0.552511415525,0.611872146119,0.557077625571,0.360730593607,0.196347031963,0.191780821918,0.251141552511,219
PB2015.13411.6,0.373271889401,0.562211981567,0.626728110599,0.548387096774,0.36866359447,0.179723502304,0.193548387097,0.258064516129,217
PB2015.1930.1,0.718579234973,0.568306010929,0.281420765027,0.456284153005,0.153005464481,0.303278688525,0.415300546448,0.128415300546,366
PB2015.1930.2,0.660130718954,0.549019607843,0.339869281046,0.437908496732,0.16339869281,0.274509803922,0.385620915033,0.176470588235,153
PB2015.15928.6,0.564885496183,0.473282442748,0.435114503817,0.480916030534,0.19465648855,0.286259541985,0.278625954198,0.240458015267,262
PB2015.13842.2,0.651006711409,0.557046979866,0.348993288591,0.456375838926,0.181208053691,0.275167785235,0.375838926174,0.167785234899,298
PB2015.13842.3,0.617886178862,0.479674796748,0.382113821138,0.479674796748,0.170731707317,0.308943089431,0.308943089431,0.211382113821,123
PB2015.13842.1,0.629370629371,0.51048951049,0.370629370629,0.454545454545,0.167832167832,0.286713286713,0.342657342657,0.202797202797,143
PB2015.16480.1,0.803278688525,0.491803278689,0.196721311475,0.491803278689,0.0901639344262,0.401639344262,0.401639344262,0.106557377049,122
PB2015.13557.16,0.769230769231,0.404858299595,0.230769230769,0.591093117409,0.113360323887,0.477732793522,0.291497975709,0.117408906883,247
PB2015.9581.2,0.631578947368,0.486842105263,0.368421052632,0.407894736842,0.131578947368,0.276315789474,0.355263157895,0.236842105263,76
PB2015.14933.1,0.658653846154,0.509615384615,0.341346153846,0.524038461538,0.1875,0.336538461538,0.322115384615,0.153846153846,208
PB2015.8427.2,0.774647887324,0.56338028169,0.225352112676,0.492957746479,0.140845070423,0.352112676056,0.422535211268,0.0845070422535,71
PB2015.6214.2,0.609090909091,0.427272727273,0.390909090909,0.563636363636,0.190909090909,0.372727272727,0.236363636364,0.2,110
PB2015.13557.10,0.584,0.536,0.416,0.432,0.192,0.24,0.344,0.224,125
PB2015.15641.10,0.773255813953,0.529069767442,0.226744186047,0.453488372093,0.104651162791,0.348837209302,0.424418604651,0.122093023256,172
PB2015.4419.3,0.541176470588,0.495798319328,0.458823529412,0.502521008403,0.228571428571,0.273949579832,0.267226890756,0.23025210084,595
PB2015.4419.2,0.542345276873,0.5,0.457654723127,0.501628664495,0.229641693811,0.271986970684,0.270358306189,0.228013029316,614
PB2015.13557.12,0.592417061611,0.454976303318,0.407582938389,0.45971563981,0.161137440758,0.298578199052,0.293838862559,0.24644549763,211
PB2015.14055.1,0.710526315789,0.657894736842,0.289473684211,0.526315789474,0.236842105263,0.289473684211,0.421052631579,0.0526315789474,76
PB2015.2370.1,0.744680851064,0.585106382979,0.255319148936,0.478723404255,0.159574468085,0.31914893617,0.425531914894,0.0957446808511,94
PB2015.10871.1,0.698151950719,0.496919917864,0.301848049281,0.546201232033,0.172484599589,0.373716632444,0.324435318275,0.129363449692,487
PB2015.10871.2,0.603305785124,0.506887052342,0.396694214876,0.476584022039,0.190082644628,0.28650137741,0.316804407713,0.206611570248,363
PB2015.9148.5,0.786324786325,0.461538461538,0.213675213675,0.564102564103,0.119658119658,0.444444444444,0.34188034188,0.0940170940171,117
PB2015.9148.4,0.704081632653,0.510204081633,0.295918367347,0.5,0.15306122449,0.34693877551,0.357142857143,0.142857142857,196
PB2015.9148.7,0.530465949821,0.457347670251,0.469534050179,0.468817204301,0.197849462366,0.270967741935,0.259498207885,0.271684587814,2790
PB2015.12131.1,0.703081232493,0.487394957983,0.296918767507,0.428571428571,0.106442577031,0.322128851541,0.380952380952,0.190476190476,357
PB2015.8184.3,0.56,0.48,0.44,0.445714285714,0.182857142857,0.262857142857,0.297142857143,0.257142857143,175
PB2015.11184.2,0.820512820513,0.467948717949,0.179487179487,0.50641025641,0.0769230769231,0.429487179487,0.391025641026,0.102564102564,156
PB2015.11251.4,0.66081871345,0.543859649123,0.33918128655,0.46783625731,0.175438596491,0.292397660819,0.368421052632,0.163742690058,171
PB2015.7193.18,0.789473684211,0.578947368421,0.210526315789,0.210526315789,0.0,0.210526315789,0.578947368421,0.210526315789,19
PB2015.13568.13,0.656934306569,0.525547445255,0.343065693431,0.481751824818,0.175182481752,0.306569343066,0.350364963504,0.167883211679,274
PB2015.13568.11,0.658181818182,0.523636363636,0.341818181818,0.483636363636,0.174545454545,0.309090909091,0.349090909091,0.167272727273,275
PB2015.13568.10,0.657142857143,0.50612244898,0.342857142857,0.49387755102,0.171428571429,0.322448979592,0.334693877551,0.171428571429,245
PB2015.16635.1,0.443396226415,0.570754716981,0.556603773585,0.495283018868,0.311320754717,0.183962264151,0.259433962264,0.245283018868,212
PB2015.12568.1,0.71,0.64,0.29,0.35,0.14,0.21,0.5,0.15,100
PB2015.13568.14,0.662393162393,0.5,0.337606837607,0.495726495726,0.166666666667,0.32905982906,0.333333333333,0.17094017094,234
PB2015.2442.3,0.802631578947,0.605263157895,0.197368421053,0.407894736842,0.105263157895,0.302631578947,0.5,0.0921052631579,76
PB2015.16169.1,0.833333333333,0.439393939394,0.166666666667,0.575757575758,0.0909090909091,0.484848484848,0.348484848485,0.0757575757576,66
PB2015.2442.1,0.809523809524,0.619047619048,0.190476190476,0.412698412698,0.111111111111,0.301587301587,0.507936507937,0.0793650793651,63
PB2015.2442.6,0.776119402985,0.537313432836,0.223880597015,0.417910447761,0.089552238806,0.328358208955,0.44776119403,0.134328358209,268
PB2015.2442.4,0.803278688525,0.606557377049,0.196721311475,0.426229508197,0.114754098361,0.311475409836,0.491803278689,0.0819672131148,61
PB2015.3542.5,0.567088607595,0.544303797468,0.432911392405,0.488607594937,0.232911392405,0.255696202532,0.311392405063,0.2,395
PB2015.3542.4,0.56678700361,0.485559566787,0.43321299639,0.496389891697,0.207581227437,0.28880866426,0.27797833935,0.225631768953,554
PB2015.3542.7,0.577922077922,0.564935064935,0.422077922078,0.484848484848,0.235930735931,0.248917748918,0.329004329004,0.186147186147,462
