transcript,control_minus_DMS_fp_10_coverage
PB2015.10230.1,206.495505618
PB2015.697.1,206.312977099
PB2015.10108.1,205.475966641
PB2015.6250.3,205.277984948
PB2015.1256.2,205.027972028
PB2015.1875.2,204.664218797
PB2015.3006.3,204.630368098
PB2015.12509.1,204.272220024
PB2015.7299.2,204.167050175
PB2015.10923.8,204.019429144
PB2015.8283.1,203.954787234
PB2015.14327.1,203.631793934
PB2015.3088.1,203.576470588
PB2015.13849.2,203.476782753
PB2015.5199.2,203.462581624
PB2015.106.5,203.442420105
PB2015.15227.1,203.171344755
PB2015.4243.9,203.070657124
PB2015.4243.6,202.757131181
PB2015.2907.1,202.746158966
PB2015.15561.2,202.694112957
PB2015.15535.1,202.653960077
PB2015.2555.2,202.25494689
PB2015.11605.2,202.05860161
PB2015.6250.1,201.854248797
PB2015.3880.3,201.343047502
PB2015.11847.3,199.58418002
PB2015.16776.7,199.186967195
PB2015.8574.2,198.58996139
PB2015.4166.5,198.350913838
PB2015.13394.5,196.084566174
PB2015.1051.14,196.070629782
PB2015.5571.11,195.897109827
PB2015.11440.1,195.315570565
PB2015.3676.12,195.191278857
PB2015.4537.1,195.098525074
PB2015.7019.2,195.05116019
PB2015.858.8,195.044831373
PB2015.13244.7,195.017113164
PB2015.5448.30,195.002318733
PB2015.9823.3,194.856937754
PB2015.3625.8,194.638107903
PB2015.1542.1,194.537332022
PB2015.14427.5,194.302754784
PB2015.2574.1,194.25259901
PB2015.12073.3,194.163144689
PB2015.13222.4,193.948180816
PB2015.11301.1,193.66859879
PB2015.2393.1,193.638993617
PB2015.696.1,193.478873239
PB2015.3486.4,193.386291644
PB2015.4717.3,193.136041667
PB2015.12143.1,193.016949153
PB2015.4701.3,192.994470273
PB2015.9710.3,192.938252573
PB2015.10186.15,192.795086097
PB2015.3676.10,192.403532009
PB2015.13167.3,192.374870478
PB2015.3032.1,192.21430572
PB2015.12073.8,192.108531842
PB2015.3625.18,192.050838613
PB2015.803.2,191.886517857
PB2015.5204.2,191.77027027
PB2015.6861.2,191.598048846
PB2015.11384.3,191.521301775
PB2015.13182.8,191.277419779
PB2015.5357.1,191.193329776
PB2015.9966.1,191.151364764
PB2015.12129.1,191.139886364
PB2015.824.5,190.830372083
PB2015.1337.4,190.714084507
PB2015.1992.5,190.263850193
PB2015.12073.6,190.143283733
PB2015.4394.2,189.937526031
PB2015.16776.8,189.769521151
PB2015.15464.3,189.61324239
PB2015.4749.1,189.4
PB2015.5153.5,188.510778853
PB2015.3249.1,187.990384615
PB2015.3676.6,187.850746269
PB2015.12161.1,187.693103448
