transcript,control_minus_DMS_fp_10_coverage
PB2015.5675.10,41.4016938817
PB2015.1545.3,41.4
PB2015.11176.4,41.3984693878
PB2015.3655.5,41.3902219556
PB2015.9201.1,41.3892063492
PB2015.11869.4,41.3847133758
PB2015.12725.7,41.375
PB2015.2280.4,41.3746666667
PB2015.2235.1,41.333964497
PB2015.7661.1,41.3265822785
PB2015.4972.11,41.3232054395
PB2015.16460.4,41.3036818437
PB2015.4972.10,41.2924579648
PB2015.4898.2,41.2922131148
PB2015.11497.1,41.2920245399
PB2015.7113.4,41.2901535462
PB2015.8977.2,41.2831730769
PB2015.11415.6,41.2816433967
PB2015.11314.5,41.2524093621
PB2015.2049.1,41.2461617195
PB2015.11086.4,41.242118863
PB2015.5571.8,41.2416666667
PB2015.5357.3,41.2381848535
PB2015.6892.2,41.196575985
PB2015.6991.12,41.1867924528
PB2015.10834.3,41.1696127697
PB2015.9047.7,41.1668260038
PB2015.2868.3,41.1644563981
PB2015.7854.15,41.1392160577
PB2015.10076.3,41.1374854482
PB2015.15260.1,41.1352941176
PB2015.13611.1,41.1183460737
PB2015.10501.1,41.1112042683
PB2015.16771.1,41.1027713626
PB2015.1284.1,41.0896286812
PB2015.8055.7,41.088825906
PB2015.6748.1,41.0884569615
PB2015.14716.7,41.0759589821
PB2015.10546.1,41.075
PB2015.15193.1,41.0743691092
PB2015.1804.1,41.0556149733
PB2015.4608.1,41.0527407407
PB2015.4588.4,41.05234375
PB2015.9584.3,41.0455555556
PB2015.3554.57,41.0389771886
PB2015.4221.8,41.0306278714
PB2015.16392.7,41.0282751011
PB2015.5246.6,41.0018691589
PB2015.5156.17,40.9921507064
PB2015.2050.3,40.9840986977
PB2015.8831.3,40.97504363
PB2015.4547.2,40.9568056253
PB2015.3886.4,40.9526682795
PB2015.10831.2,40.9473684211
PB2015.5466.4,40.9469368066
PB2015.13011.1,40.92680798
PB2015.1375.16,40.9156311315
PB2015.8099.14,40.9137870855
PB2015.13216.8,40.9114285714
PB2015.13885.1,40.8961904762
PB2015.3738.4,40.8930454431
PB2015.16790.3,40.8838787879
PB2015.5402.1,40.8829787234
PB2015.15910.4,40.8640948176
PB2015.3705.1,40.8625035004
PB2015.12447.4,40.8623809524
PB2015.16522.8,40.8604137199
PB2015.14812.1,40.8548148148
PB2015.13010.1,40.852173913
PB2015.2550.31,40.8494872938
PB2015.10248.6,40.8452647461
PB2015.2842.5,40.8425211198
PB2015.7944.5,40.8265645385
PB2015.14640.3,40.8218675958
PB2015.15327.13,40.8192697146
PB2015.6294.3,40.7900173357
PB2015.9307.2,40.7790262874
PB2015.3226.7,40.774447734
PB2015.10095.2,40.7743937924
PB2015.6364.1,40.7595952053
PB2015.7128.15,40.7480234052
PB2015.3596.3,40.7455882353
PB2015.12664.5,40.7350048216
PB2015.15929.1,40.7260014055
PB2015.1545.2,40.7213559322
PB2015.14299.8,40.7179747955
PB2015.12417.4,40.7158572773
PB2015.12207.8,40.7138164632
PB2015.16423.2,40.7041297935
PB2015.7960.5,40.6904259246
PB2015.5671.1,40.6871883268
PB2015.3115.1,40.6513371151
PB2015.2835.4,40.6510860446
PB2015.12756.5,40.6491519155
PB2015.7090.14,40.6386554622
PB2015.6369.7,40.6352941176
PB2015.16699.3,40.631372549
PB2015.15218.6,40.6300094073
PB2015.3555.8,40.6127291435
PB2015.13873.2,40.6111111111
PB2015.4541.1,40.6038771659
PB2015.4839.1,40.6026029944
PB2015.3971.2,40.5992165465
PB2015.13390.3,40.5980926431
PB2015.16790.5,40.5830258303
PB2015.4547.6,40.5691150954
PB2015.15897.32,40.5671296808
PB2015.16584.14,40.5594034797
PB2015.8691.3,40.5589795505
PB2015.1860.7,40.5512193864
PB2015.12724.1,40.5503064243
PB2015.8858.1,40.5314285714
PB2015.10427.1,40.5308411215
PB2015.13867.3,40.5254172262
PB2015.8571.1,40.5178571429
PB2015.7854.30,40.504822566
PB2015.7932.1,40.5042635659
PB2015.7419.2,40.4736684171
PB2015.796.2,40.4733624454
PB2015.7399.7,40.4717449408
PB2015.3165.1,40.4693372898
PB2015.15260.2,40.4632102273
PB2015.1341.1,40.4607773852
PB2015.13463.1,40.4568889906
PB2015.11708.3,40.452833638
PB2015.537.1,40.4419506273
PB2015.4333.2,40.438790932
PB2015.15729.5,40.4259515571
PB2015.11085.8,40.4224637681
PB2015.6982.3,40.4223451327
PB2015.10118.1,40.4163934426
PB2015.3176.5,40.4116693679
PB2015.4377.2,40.3968503937
PB2015.6345.5,40.3865540044
PB2015.13124.1,40.3787683032
PB2015.8925.6,40.3526785714
PB2015.5396.3,40.3473394987
PB2015.9170.8,40.3438721137
PB2015.9983.2,40.340625
PB2015.3284.11,40.3076616865
PB2015.11017.10,40.3071428571
PB2015.5246.4,40.30541743
PB2015.2025.1,40.2988624612
PB2015.9109.1,40.286204576
PB2015.12833.1,40.2843544858
PB2015.5246.13,40.2816722973
PB2015.12375.1,40.2776632302
PB2015.14489.4,40.2698027134
PB2015.5570.1,40.2666666667
PB2015.6913.1,40.2506028799
PB2015.6446.2,40.2410917105
PB2015.11270.3,40.2410351201
PB2015.4221.1,40.2402985075
PB2015.12253.3,40.2260869565
PB2015.2890.3,40.2131469588
PB2015.10957.5,40.2127029608
PB2015.219.3,40.2101449275
PB2015.496.4,40.2061120543
PB2015.1646.6,40.2045602606
PB2015.6369.8,40.2020171457
PB2015.1188.1,40.185449266
PB2015.2055.5,40.1796432319
PB2015.7692.10,40.1774833398
PB2015.13514.3,40.1692307692
PB2015.4842.3,40.1544117647
PB2015.12800.4,40.1436841606
PB2015.15699.1,40.1414101291
PB2015.11067.3,40.1338034376
PB2015.9870.1,40.1319261214
PB2015.14971.12,40.1301978778
PB2015.3886.6,40.1291071176
PB2015.7291.9,40.1271578718
PB2015.5474.2,40.0941045606
PB2015.76.5,40.0849005425
PB2015.4076.3,40.0751281075
PB2015.7578.4,40.0628964463
PB2015.823.2,40.0562240664
PB2015.10013.1,40.0514716981
PB2015.8055.12,40.0451282051
PB2015.14640.4,40.04095334
PB2015.9772.4,40.0276169265
PB2015.1679.2,40.0149152542
PB2015.14636.2,40.0145214273
PB2015.2193.2,40.0042553191
PB2015.15651.3,39.9921183739
PB2015.7462.5,39.9908304498
PB2015.5689.6,39.9791990172
PB2015.5806.1,39.9753679318
PB2015.5623.7,39.9713094245
PB2015.14026.2,39.969924812
PB2015.7962.8,39.95923018
PB2015.5872.2,39.950748621
PB2015.12561.10,39.9479681275
PB2015.11696.7,39.9439790576
PB2015.1577.1,39.920131291
PB2015.11408.1,39.9151260504
PB2015.8880.3,39.9130434783
PB2015.15556.1,39.9111111111
PB2015.2890.6,39.8943304954
PB2015.2716.1,39.8927332783
PB2015.11597.1,39.8727272727
PB2015.2060.9,39.8704907306
PB2015.6797.3,39.8581005587
PB2015.4690.3,39.8526988785
PB2015.5611.3,39.852149792
PB2015.13758.5,39.8406384814
PB2015.11005.5,39.8404726294
PB2015.15314.1,39.8265734266
PB2015.4008.5,39.8133533383
PB2015.8728.3,39.8081081081
PB2015.4483.17,39.8025409076
PB2015.15390.2,39.7858262778
PB2015.676.1,39.7813776051
PB2015.15913.4,39.7602529359
PB2015.12250.2,39.7599569429
PB2015.12503.1,39.7578947368
PB2015.846.1,39.75
PB2015.6540.3,39.7464985994
PB2015.1961.1,39.74355
PB2015.9132.2,39.741955836
PB2015.13105.13,39.7411764706
PB2015.6556.14,39.7399046105
PB2015.14884.1,39.73766396
PB2015.6427.12,39.7366747248
PB2015.2033.4,39.734194831
PB2015.8010.1,39.7276595745
PB2015.1678.1,39.7190234792
PB2015.2547.2,39.7135822733
PB2015.3554.20,39.7056903502
PB2015.7471.8,39.6988427502
PB2015.15754.1,39.6914052953
PB2015.5533.3,39.6913294798
PB2015.14903.1,39.6887671233
PB2015.13112.4,39.6874052478
PB2015.7326.4,39.6862413951
PB2015.8375.3,39.6855239047
PB2015.804.6,39.6787418655
PB2015.12284.2,39.6533057851
PB2015.12183.9,39.6395652174
PB2015.3462.9,39.6349541284
PB2015.11415.8,39.6303030303
PB2015.5822.8,39.6227727243
PB2015.13657.2,39.6121702896
PB2015.15850.2,39.6080762759
PB2015.8059.1,39.587074737
PB2015.44.1,39.5782986111
PB2015.3725.6,39.5513227513
PB2015.4554.18,39.5496493171
PB2015.5872.3,39.5405257393
PB2015.4870.7,39.5386996904
PB2015.13983.1,39.5371428571
PB2015.777.5,39.5358914191
PB2015.4830.7,39.5336088154
PB2015.15192.5,39.5313109426
PB2015.12351.12,39.5234899329
PB2015.6892.12,39.5180987687
PB2015.16524.2,39.5158597663
PB2015.3192.2,39.5
PB2015.7854.16,39.497544056
PB2015.9134.7,39.4971803548
PB2015.11102.2,39.4964697895
PB2015.3091.1,39.49
PB2015.15641.2,39.4896111379
PB2015.4741.1,39.460795876
PB2015.3668.3,39.4475138122
PB2015.4946.2,39.4455119013
PB2015.14883.2,39.4363695511
PB2015.5033.3,39.4313991394
PB2015.1858.3,39.4303797468
PB2015.15455.3,39.4142028443
PB2015.13114.6,39.4115107914
PB2015.14971.9,39.3943022088
PB2015.225.10,39.3921957262
PB2015.11251.3,39.3913907285
PB2015.9869.6,39.381239531
PB2015.3102.2,39.3596774194
PB2015.14657.12,39.3595563433
PB2015.2537.5,39.3580645161
PB2015.9683.5,39.3553740327
PB2015.15626.8,39.3525764786
PB2015.14028.8,39.3497364855
PB2015.4245.3,39.3385347288
PB2015.12706.4,39.299707887
PB2015.1203.5,39.2828690808
PB2015.3750.6,39.2808437365
PB2015.15965.1,39.2582438113
PB2015.5467.10,39.2538985617
PB2015.14402.15,39.2407035176
PB2015.6887.1,39.2303206997
PB2015.15434.1,39.2294280675
PB2015.16156.1,39.2126382306
PB2015.7959.12,39.2115975895
PB2015.11031.3,39.2089200382
PB2015.417.1,39.2009378085
PB2015.9687.2,39.1984615385
PB2015.399.3,39.1960139319
PB2015.10507.16,39.1938345173
PB2015.1536.1,39.1745454545
PB2015.7499.7,39.1720481928
PB2015.7684.7,39.1555728761
PB2015.5103.6,39.1529411765
PB2015.15503.1,39.1474226804
PB2015.934.5,39.1468523075
PB2015.13745.3,39.1422432629
PB2015.6644.9,39.1418972332
PB2015.8925.3,39.1391035549
PB2015.2755.7,39.132759578
PB2015.4864.2,39.128125
PB2015.2642.7,39.116726721
PB2015.2054.5,39.0955752212
PB2015.7223.3,39.0947392394
PB2015.8720.6,39.0907407407
PB2015.1602.1,39.0903189703
PB2015.4353.1,39.0871134021
PB2015.10559.1,39.0839756457
PB2015.9523.5,39.081323012
PB2015.8313.2,39.0774855365
PB2015.6377.12,39.0610592276
PB2015.1779.6,39.0604651163
PB2015.8946.7,39.0597738288
PB2015.8306.1,39.0558182047
PB2015.10391.3,39.0183406114
PB2015.8908.1,39.0126645145
PB2015.15910.1,39.0123417722
PB2015.10458.2,39.0092935528
PB2015.12722.1,39.0079155673
PB2015.4613.2,39.0028571429
PB2015.1680.4,38.9920634921
PB2015.1618.1,38.9908779932
PB2015.2299.3,38.9907608696
PB2015.4719.4,38.9853658537
PB2015.8055.6,38.9743541273
PB2015.8882.3,38.9737087741
PB2015.777.1,38.9559747459
PB2015.558.1,38.9470588235
PB2015.1413.10,38.9256948734
PB2015.1678.4,38.9131402483
PB2015.7833.2,38.9065122461
PB2015.5364.4,38.8903722721
PB2015.16491.2,38.8840033501
PB2015.2029.5,38.8765145179
PB2015.1261.2,38.8756097561
PB2015.7323.15,38.8719156957
PB2015.8832.11,38.869759519
PB2015.4483.18,38.869671951
PB2015.5804.1,38.8647597254
PB2015.2521.1,38.8607446114
PB2015.12937.5,38.8592592593
PB2015.8277.7,38.8522875817
PB2015.3010.6,38.8501847291
PB2015.15419.17,38.8432378922
PB2015.7854.8,38.8411974895
PB2015.10492.1,38.8201317027
PB2015.856.18,38.8179085941
PB2015.7860.2,38.7976878613
PB2015.1342.2,38.7967741935
PB2015.3596.1,38.7880922219
PB2015.14600.12,38.787287921
PB2015.16349.4,38.7867288743
PB2015.9093.1,38.7850746269
PB2015.6556.6,38.7666666667
PB2015.15523.1,38.762966932
PB2015.7854.14,38.7524927555
PB2015.2303.13,38.7464788732
PB2015.16821.1,38.7430733647
PB2015.10815.1,38.731505811
PB2015.1080.5,38.7206658131
PB2015.2755.5,38.7163212435
PB2015.3702.2,38.7031337047
PB2015.9583.7,38.7
PB2015.3585.1,38.6980519481
PB2015.5226.4,38.6907529723
PB2015.9854.1,38.6877725118
PB2015.4672.1,38.685988024
PB2015.2549.2,38.6833948339
PB2015.7525.1,38.6791469194
PB2015.2155.1,38.6787204451
PB2015.11029.4,38.6540672783
PB2015.4713.6,38.6441709845
PB2015.12726.1,38.6406649616
PB2015.14500.5,38.6321548822
PB2015.589.5,38.630418251
PB2015.10102.1,38.6292993631
PB2015.9901.1,38.6279069767
PB2015.15614.3,38.6219858156
PB2015.9945.1,38.6210839786
PB2015.2662.3,38.619220616
PB2015.14402.8,38.6143426295
PB2015.3927.6,38.6057142857
PB2015.9006.3,38.6005413323
PB2015.553.3,38.5955072464
PB2015.13236.1,38.5684542587
PB2015.6785.1,38.5637546965
PB2015.3480.5,38.548024948
PB2015.1240.1,38.5467309016
PB2015.6399.2,38.5403690129
PB2015.5478.3,38.5373297003
PB2015.13167.4,38.5292220507
PB2015.11759.2,38.5280938416
PB2015.15268.1,38.5265957447
PB2015.14589.1,38.5265060241
PB2015.10604.10,38.5243231592
PB2015.16349.7,38.5216474581
PB2015.12252.1,38.5158910329
PB2015.9322.2,38.5093089961
PB2015.6713.1,38.4979907713
PB2015.3828.7,38.4958860759
PB2015.4847.5,38.4705376344
PB2015.7854.1,38.4700977364
PB2015.12268.2,38.4609815141
PB2015.9944.1,38.4514851485
PB2015.4162.1,38.4333333333
PB2015.16799.1,38.4285452323
PB2015.4313.4,38.4279727606
PB2015.9062.2,38.4270547243
PB2015.10727.1,38.4258406797
PB2015.2550.20,38.4220738137
PB2015.762.7,38.4014388489
PB2015.5357.7,38.3873176425
PB2015.11462.2,38.3805748266
PB2015.11156.1,38.3697694278
PB2015.3651.2,38.3693476213
PB2015.6294.4,38.3692128489
PB2015.11811.1,38.3529411765
PB2015.5555.3,38.3385194479
PB2015.5608.2,38.3383561644
PB2015.6877.1,38.3369318182
PB2015.9584.6,38.3357400722
PB2015.5805.1,38.333130531
PB2015.7099.18,38.3314628368
PB2015.11399.1,38.3286713287
PB2015.16460.1,38.3276517922
PB2015.6438.2,38.324
PB2015.9217.4,38.3204216074
PB2015.3750.7,38.3158603012
PB2015.9410.5,38.3036475771
PB2015.7376.1,38.2951465392
PB2015.5909.3,38.2819852941
PB2015.3293.1,38.2699197285
PB2015.5815.8,38.2665181886
PB2015.11927.7,38.2621184919
PB2015.12351.6,38.2615942029
PB2015.8026.5,38.2596345515
PB2015.5822.5,38.2586948854
PB2015.15203.3,38.2545547595
PB2015.584.26,38.2532051282
PB2015.4245.4,38.2333607231
PB2015.4662.1,38.2306131451
PB2015.11225.2,38.228340081
PB2015.7046.1,38.225
PB2015.3554.45,38.2202596315
PB2015.7462.3,38.2179083596
PB2015.1839.3,38.2044526332
PB2015.11603.3,38.2037199766
PB2015.8868.3,38.2023094082
PB2015.5025.1,38.2022650057
PB2015.5146.1,38.1953633218
PB2015.12018.1,38.1888888889
PB2015.3748.3,38.1869904597
PB2015.10719.1,38.1733333333
PB2015.12664.3,38.1620372554
PB2015.4687.5,38.16
PB2015.16156.2,38.159835009
PB2015.12458.1,38.1450892857
PB2015.7099.28,38.138450317
PB2015.7090.15,38.1318969347
PB2015.10851.1,38.1275331565
PB2015.3833.3,38.1251285819
PB2015.10811.5,38.1199373947
PB2015.9174.4,38.1163145683
PB2015.6184.6,38.1153787299
PB2015.13741.1,38.1106888361
PB2015.11210.19,38.0936170213
PB2015.3554.4,38.0846643253
PB2015.16460.2,38.0766798419
PB2015.10674.2,38.0679900744
PB2015.4530.5,38.0611055276
PB2015.6188.6,38.0571818182
PB2015.15705.4,38.0467343203
PB2015.12554.1,38.0451459035
PB2015.3728.5,38.0360041623
PB2015.11150.1,38.0268714012
PB2015.7002.1,38.0159035453
PB2015.14790.8,38.0078740157
PB2015.7664.1,38.0038095238
PB2015.10104.13,38.0017775393
PB2015.6143.1,37.9981112637
PB2015.6677.2,37.9970206264
PB2015.3613.6,37.9853038674
PB2015.13441.2,37.9822485207
PB2015.3840.2,37.9796387521
PB2015.3554.34,37.9617343735
PB2015.9518.2,37.9564417178
PB2015.7245.2,37.944782814
PB2015.7854.19,37.9429652257
PB2015.6556.19,37.9419656786
PB2015.3554.22,37.9384828115
PB2015.13557.6,37.9213676869
PB2015.6892.10,37.9210203118
PB2015.1872.2,37.9174825175
PB2015.2457.1,37.9121409869
PB2015.7128.11,37.9099484938
PB2015.12872.1,37.9094347582
PB2015.1603.16,37.9080683191
PB2015.16137.6,37.8988900101
PB2015.15138.1,37.895
PB2015.8925.2,37.8899033298
PB2015.14274.2,37.8894886364
PB2015.11615.1,37.8850902982
PB2015.7855.1,37.8786696471
PB2015.11916.8,37.8728801875
PB2015.1255.5,37.8682619647
PB2015.5229.1,37.8671428571
PB2015.9248.6,37.8597246127
PB2015.10148.3,37.8551181102
PB2015.7499.13,37.8550797267
PB2015.11340.20,37.8515528882
PB2015.4158.1,37.8494949495
PB2015.8911.1,37.8491803279
PB2015.1203.2,37.8479500891
PB2015.8925.7,37.8421524664
PB2015.16722.15,37.8383763838
PB2015.11210.13,37.8331755845
PB2015.16387.4,37.8265234546
PB2015.4672.4,37.8258064516
PB2015.1020.4,37.8256409715
PB2015.12420.4,37.8234513274
PB2015.14636.1,37.8149235146
PB2015.13587.1,37.8040277271
PB2015.13670.1,37.7921426581
PB2015.2196.1,37.7870542156
PB2015.1861.1,37.7693877551
PB2015.3655.9,37.7668180554
PB2015.13536.7,37.765961063
PB2015.13715.5,37.7612806901
PB2015.2148.1,37.7516129032
PB2015.14971.5,37.7414965986
PB2015.8977.1,37.7263279446
PB2015.3554.35,37.7177578958
PB2015.6979.4,37.7144976077
PB2015.6461.6,37.710466761
PB2015.7090.12,37.7020915429
PB2015.3682.1,37.7
PB2015.5364.7,37.6979907264
PB2015.15566.2,37.6886095837
PB2015.14500.15,37.687431694
PB2015.12190.1,37.6832369942
PB2015.3655.8,37.6789419572
PB2015.10165.3,37.6753276353
PB2015.9276.1,37.6736449864
PB2015.4713.5,37.6726966292
PB2015.13411.5,37.661163522
PB2015.2235.4,37.6449438202
PB2015.2130.2,37.6359039191
PB2015.8322.5,37.6303529412
PB2015.4908.1,37.6140511646
PB2015.4972.9,37.6095035461
PB2015.1192.3,37.6092085799
PB2015.16581.4,37.6020843202
PB2015.7523.1,37.6
PB2015.15289.5,37.5974193548
PB2015.579.2,37.5785037018
PB2015.13099.3,37.5720595295
PB2015.16137.5,37.5699680511
PB2015.10811.4,37.5656727099
PB2015.2842.7,37.5489717628
PB2015.3994.8,37.5469093433
PB2015.16349.6,37.5423640886
PB2015.2121.1,37.5305135952
PB2015.9464.5,37.5173803526
PB2015.8392.2,37.5166025417
PB2015.14770.1,37.5122003197
PB2015.2426.2,37.5056586271
PB2015.1336.1,37.5056390977
PB2015.2640.8,37.5
PB2015.10536.1,37.4958730159
PB2015.1064.10,37.4835719155
PB2015.8289.2,37.479389313
PB2015.375.1,37.4778939599
PB2015.6359.4,37.4759259259
PB2015.10323.9,37.4699048692
PB2015.4591.9,37.4694842844
PB2015.4023.6,37.4650437429
PB2015.9585.7,37.4630498534
PB2015.7828.2,37.4600989866
PB2015.15641.14,37.4460747899
PB2015.2734.2,37.4440453497
PB2015.10366.1,37.437037037
PB2015.5229.8,37.4336633663
PB2015.1491.4,37.4335812965
PB2015.10323.19,37.4329951949
PB2015.6753.4,37.4187969925
PB2015.13216.9,37.418018018
PB2015.2842.6,37.3925991384
PB2015.8918.1,37.3910069791
PB2015.15274.1,37.3909998632
PB2015.11641.14,37.3884297521
PB2015.1728.2,37.3854713743
PB2015.2303.10,37.3761904762
PB2015.5156.5,37.3750160154
PB2015.12797.1,37.3558333333
PB2015.14183.1,37.3547277937
PB2015.6643.12,37.3519614591
PB2015.16293.2,37.3509603984
PB2015.12442.1,37.332
PB2015.2029.10,37.3287037037
PB2015.4740.6,37.3260273973
PB2015.2044.3,37.324418474
PB2015.3597.5,37.3180114867
PB2015.14096.5,37.3159965288
PB2015.5880.3,37.3155832037
PB2015.13717.6,37.2959183673
PB2015.2785.4,37.2914285714
PB2015.8092.1,37.2859533419
PB2015.10608.11,37.2833333333
PB2015.15218.5,37.2762399077
PB2015.11640.3,37.2720232333
PB2015.16522.7,37.2632898172
PB2015.13909.8,37.2605577689
PB2015.1375.11,37.2401913876
PB2015.7416.7,37.2291499777
PB2015.15127.5,37.2267929635
PB2015.11927.3,37.2118471338
PB2015.8670.1,37.2072183099
PB2015.11077.9,37.2022899282
PB2015.7472.2,37.2013297872
PB2015.299.2,37.1884615385
PB2015.11605.9,37.1880882353
PB2015.5033.2,37.1839428331
PB2015.5864.3,37.1679506934
PB2015.6481.1,37.15625
PB2015.13771.3,37.147826087
PB2015.13715.3,37.1445153876
PB2015.7584.3,37.14053076
PB2015.1203.3,37.131546894
PB2015.556.6,37.1184466019
PB2015.3933.6,37.1177865613
PB2015.14021.9,37.1060446247
PB2015.8765.2,37.1058823529
PB2015.12043.3,37.1
PB2015.11077.7,37.0950109038
PB2015.3880.7,37.0886570827
PB2015.7400.3,37.0842850617
PB2015.13531.1,37.0777777778
PB2015.7128.9,37.0696106029
PB2015.7691.6,37.0686366081
PB2015.6482.5,37.0545414462
PB2015.11104.10,37.0522128852
PB2015.1274.2,37.05
PB2015.2574.3,37.05
PB2015.6707.5,37.0393856029
PB2015.7113.5,37.0224826851
PB2015.13006.5,37.0129855716
PB2015.13016.1,37.0122407344
PB2015.12664.4,36.9983002833
PB2015.5033.4,36.9873691186
PB2015.16738.4,36.9822361546
PB2015.3891.10,36.9755725191
PB2015.5517.5,36.9734151329
PB2015.10104.14,36.9720028715
PB2015.2661.2,36.9641675854
PB2015.11883.5,36.9581812558
PB2015.10727.4,36.9555350165
PB2015.6602.5,36.9517982251
PB2015.7962.11,36.9417315825
PB2015.2049.2,36.9353877499
PB2015.14290.2,36.9316030534
PB2015.8138.3,36.927607362
PB2015.15467.1,36.9166666667
PB2015.13212.6,36.9056748466
PB2015.13336.4,36.8937228464
PB2015.895.4,36.8847826087
PB2015.12514.1,36.8823529412
PB2015.3554.17,36.8820915586
PB2015.3662.6,36.8597942473
PB2015.4479.7,36.8572347267
PB2015.12454.6,36.85
PB2015.8088.7,36.8483301132
PB2015.13777.2,36.8363861386
PB2015.3407.8,36.8244008715
PB2015.6367.1,36.8163798737
PB2015.5230.7,36.8068965517
PB2015.10406.1,36.7935684647
PB2015.4096.4,36.775314979
PB2015.2908.1,36.7691895512
PB2015.4061.9,36.7688009313
PB2015.14519.8,36.7675241744
PB2015.3662.14,36.7581458495
PB2015.1439.10,36.7539278441
PB2015.10291.14,36.7465064695
PB2015.10949.1,36.740356329
PB2015.11270.1,36.7346336822
PB2015.4560.7,36.725441465
PB2015.11340.4,36.7089579044
PB2015.12655.3,36.7063524654
PB2015.4975.2,36.7013084112
PB2015.7291.6,36.6819904369
PB2015.10975.2,36.6756756757
PB2015.3880.5,36.6731387424
PB2015.13657.1,36.6716678999
PB2015.8232.5,36.6586272465
PB2015.10489.15,36.6570002851
PB2015.13808.9,36.6518169583
PB2015.3971.10,36.6417293233
PB2015.13660.1,36.6356461034
PB2015.4719.3,36.6245901639
PB2015.1459.2,36.6154411765
PB2015.3723.4,36.6113948919
PB2015.228.3,36.6092783505
PB2015.174.3,36.6003003978
PB2015.5061.6,36.5810102269
PB2015.4719.7,36.5785714286
PB2015.13715.1,36.5547844374
PB2015.154.13,36.5516270034
PB2015.9869.8,36.5484187082
PB2015.7016.11,36.5432723358
PB2015.9143.1,36.5416666667
PB2015.3405.2,36.5402766477
PB2015.8507.2,36.5380113931
PB2015.2016.7,36.5317919075
PB2015.4354.3,36.5305404193
PB2015.10299.5,36.5224025974
PB2015.8373.1,36.5156112853
PB2015.11195.1,36.5092651757
PB2015.7944.9,36.5068939045
PB2015.8768.1,36.5010309278
PB2015.6892.4,36.4998927039
PB2015.6431.11,36.4910875842
PB2015.514.3,36.4872521246
PB2015.15719.3,36.4853628536
PB2015.9789.7,36.4842105263
PB2015.16823.18,36.4837914782
PB2015.13048.5,36.4781553398
PB2015.13989.1,36.4756028369
PB2015.10235.4,36.4718716578
PB2015.2642.3,36.471371807
PB2015.8839.4,36.4571428571
PB2015.11612.6,36.456
PB2015.5623.8,36.4375358166
PB2015.7342.5,36.4358974359
PB2015.12452.4,36.43376
PB2015.3299.2,36.4314606742
PB2015.5743.15,36.4224719101
PB2015.14278.1,36.4162067047
PB2015.15338.4,36.4022412388
PB2015.11132.3,36.3986101459
PB2015.10604.12,36.3937931034
PB2015.9170.12,36.3808421053
PB2015.13370.3,36.3787488211
PB2015.215.1,36.3782318969
PB2015.1065.1,36.3754527163
PB2015.5900.6,36.371
PB2015.11817.2,36.3668417104
PB2015.3014.2,36.3576905728
PB2015.1026.6,36.3534954407
PB2015.7128.4,36.3533891336
PB2015.5301.1,36.3400355872
PB2015.14053.2,36.3316159251
PB2015.9890.4,36.3282969717
PB2015.8244.1,36.325
PB2015.2383.1,36.3198127585
PB2015.6985.3,36.3169508526
PB2015.9582.4,36.3131147541
PB2015.13866.4,36.3120459214
PB2015.2578.4,36.3073317865
PB2015.11562.20,36.3030503305
PB2015.7597.3,36.3
PB2015.3738.9,36.2978966132
PB2015.3554.25,36.2679334027
PB2015.11722.3,36.2677590361
PB2015.12709.12,36.2653908985
PB2015.2101.3,36.2599708879
PB2015.10088.6,36.250140056
PB2015.2143.3,36.2390256679
PB2015.5689.4,36.2370877969
PB2015.13006.7,36.2296617916
PB2015.6788.1,36.2222222222
PB2015.14434.1,36.2108108108
PB2015.5503.3,36.1906759907
PB2015.8915.2,36.1780821918
PB2015.12984.2,36.1568376068
PB2015.8055.4,36.1544626474
PB2015.6856.1,36.1524100995
PB2015.5517.1,36.1491717791
PB2015.2215.5,36.1455341506
PB2015.15414.4,36.1396226415
PB2015.4808.3,36.1357667765
PB2015.16363.3,36.128189911
PB2015.16515.2,36.1202883742
PB2015.13805.1,36.1104395604
PB2015.10295.1,36.1066291542
PB2015.11210.10,36.1065265816
PB2015.11419.1,36.0997627521
PB2015.5283.1,36.0598219585
PB2015.6876.8,36.0538596932
PB2015.6398.7,36.0513980461
PB2015.4483.14,36.0413281912
PB2015.14228.6,36.0394052523
PB2015.7962.12,36.0340934664
PB2015.2165.3,36.0260828625
PB2015.2124.2,36.0250645995
PB2015.15067.1,36.014527845
PB2015.9183.4,36.0118603539
PB2015.3411.3,36.0117302053
PB2015.15788.1,36.0
PB2015.2182.1,36.0
PB2015.11656.1,35.9967806841
PB2015.5357.8,35.9960638531
PB2015.7128.5,35.9926770778
PB2015.10025.6,35.9924731183
PB2015.9795.2,35.9900280818
PB2015.1858.1,35.9890608512
PB2015.9717.1,35.9836601307
PB2015.3828.11,35.9830588235
PB2015.6368.2,35.9753755715
PB2015.3912.3,35.9709931687
PB2015.5885.4,35.9700837851
PB2015.8973.5,35.9574468085
PB2015.7155.3,35.9547169811
PB2015.5654.2,35.9539986781
PB2015.5888.2,35.9419354839
PB2015.15614.2,35.9377910845
PB2015.9620.2,35.9346303502
PB2015.5212.1,35.9318944844
PB2015.354.6,35.9276069922
PB2015.7128.6,35.9267762414
PB2015.7625.4,35.9255767963
PB2015.4456.2,35.9252365931
PB2015.3554.48,35.9240508995
PB2015.10248.8,35.9068626028
PB2015.584.30,35.9066507441
PB2015.5144.1,35.9051623204
PB2015.1644.2,35.8921116087
