transcript,hippuristanol_minus_DMS_fp_10_coverage
PB2015.5089.2,201.928018757
PB2015.13953.2,201.830827486
PB2015.4701.3,200.74957398
PB2015.5230.6,200.473509934
PB2015.1933.5,199.354054054
PB2015.106.5,199.252399966
PB2015.13849.2,198.946792884
PB2015.7299.16,198.712571555
PB2015.3625.8,198.681584538
PB2015.6250.3,198.616011082
PB2015.9116.2,197.972191673
PB2015.13229.7,197.882535733
PB2015.2574.2,197.548128531
PB2015.7299.24,197.446142401
PB2015.15561.2,197.403058907
PB2015.15126.1,197.171623672
PB2015.10186.15,197.160334926
PB2015.7561.8,197.091176471
PB2015.2981.1,196.84411892
PB2015.16690.1,196.826086957
PB2015.9470.2,196.193895871
PB2015.7299.1,196.062904002
PB2015.2136.1,196.058823529
PB2015.13814.1,196.0
PB2015.4243.9,195.786450896
PB2015.3486.4,195.661469038
PB2015.15538.9,195.566002401
PB2015.11847.3,195.447985732
PB2015.6250.1,195.300159611
PB2015.5199.2,194.870424443
PB2015.13182.8,194.596059843
PB2015.3625.18,194.28456892
PB2015.11440.1,194.104387408
PB2015.16776.7,193.692151899
PB2015.4243.6,193.685602457
PB2015.3249.1,193.116
PB2015.5448.30,192.690766109
PB2015.11301.1,192.683369268
PB2015.7299.2,192.280630719
PB2015.14819.1,192.056982836
PB2015.14783.1,191.826908984
PB2015.1256.2,191.611336032
PB2015.4683.1,191.247206924
PB2015.3032.1,191.216093962
PB2015.13222.4,191.209680639
PB2015.775.9,191.166307692
PB2015.11605.2,190.90808
PB2015.858.8,189.856770173
PB2015.2393.1,189.779748666
PB2015.13402.3,189.535391121
PB2015.4749.1,189.4
PB2015.13849.1,189.33601626
PB2015.15468.1,189.3
PB2015.7019.2,189.042422907
PB2015.824.5,188.77473851
PB2015.9823.3,188.641931943
PB2015.12073.3,188.578858084
PB2015.13137.1,188.47576055
PB2015.15126.3,188.345478036
PB2015.4245.5,188.232276657
PB2015.1923.1,187.608171604
PB2015.3625.7,187.361976212
PB2015.13137.3,187.315104967
PB2015.11599.1,186.96412649
PB2015.13244.7,186.862939605
PB2015.9210.1,186.560756907
PB2015.12975.2,186.401881246
PB2015.2589.2,186.325301205
PB2015.12073.8,186.06154638
PB2015.6427.1,185.959948784
PB2015.8573.3,185.251383764
PB2015.12452.1,184.951908397
PB2015.2514.3,184.844670367
PB2015.5571.6,184.72345679
PB2015.13394.5,184.020233788
PB2015.6861.2,183.939927913
PB2015.10923.8,183.704433714
PB2015.16776.8,183.688139377
PB2015.5919.1,183.653801783
PB2015.16722.16,183.545247148
PB2015.16264.1,183.515669516
PB2015.4335.1,183.501070664
PB2015.3676.12,183.494121715
PB2015.8283.1,183.442669943
PB2015.8893.20,183.299152455
PB2015.10108.1,183.160139373
PB2015.1051.14,183.121900276
PB2015.1337.4,182.715844402
PB2015.11415.14,182.64695763
PB2015.12161.1,182.577777778
PB2015.16776.4,182.481581169
PB2015.11725.2,182.324542601
PB2015.10186.18,182.256640273
PB2015.8893.5,182.084906874
PB2015.5153.6,181.916433686
PB2015.4717.3,181.793350384
PB2015.12073.6,181.788302056
PB2015.551.1,181.630082988
PB2015.5822.6,181.624756687
PB2015.10692.1,181.401986218
PB2015.4570.4,181.3780407
PB2015.3880.3,181.359317032
PB2015.12509.1,181.236124177
PB2015.16776.14,181.07076089
PB2015.5226.1,180.871688943
PB2015.12143.1,180.635036496
PB2015.2574.1,180.164705882
PB2015.9267.5,180.041436464
PB2015.14427.5,179.784193734
PB2015.6648.1,179.067567568
PB2015.2108.1,178.98293988
PB2015.14292.4,178.838560411
PB2015.10179.1,178.733333333
PB2015.10186.23,178.567327409
PB2015.7911.2,178.517446177
PB2015.3625.17,178.513326342
PB2015.10230.1,178.367464115
PB2015.9820.1,178.199873991
PB2015.6717.5,177.811589404
PB2015.4908.2,177.768507157
PB2015.6627.1,177.74556213
PB2015.14047.7,177.19237791
PB2015.5153.5,177.155181724
PB2015.9208.1,176.912161115
PB2015.254.5,176.877754074
PB2015.7139.16,176.56157736
PB2015.7299.14,176.345509426
PB2015.1804.6,176.261538462
PB2015.13676.1,176.123033218
PB2015.10273.1,176.009472606
PB2015.11384.2,175.736612022
PB2015.3951.7,175.443037975
PB2015.3540.1,175.410125407
PB2015.3676.10,175.212084417
PB2015.9072.7,174.836821192
PB2015.16382.4,174.740295749
PB2015.11436.2,174.705882353
PB2015.5448.31,174.657284647
PB2015.5204.2,174.433386201
PB2015.15125.1,174.430983847
PB2015.7642.1,173.912990937
PB2015.4243.8,173.684100996
PB2015.14049.5,173.061386713
PB2015.1784.4,172.003951191
PB2015.16186.6,171.824337245
PB2015.5226.2,171.673386601
PB2015.16690.5,171.577203818
PB2015.8522.3,171.534329935
PB2015.13491.1,171.506553451
PB2015.13300.3,171.101196967
PB2015.9511.1,171.040025991
